alert_id,client_id,client_name,provincia,comunidad_autonoma,zone,agent_id,product_id,alert_type,risk_level,client_value,churn_probability,purchase_propensity,predicted_next_purchase,last_order_date,alert_score,explanation,ctx_productos_afectados,ctx_n_productos,ctx_gasto_anual_real,ctx_gasto_esperado,ctx_dias_desde_compra,ctx_tiempo_medio_recompra,ctx_zscore_momento,ctx_potencial_clase,ctx_num_compras_anteriores,ctx_total_compras_otros,ctx_vuelve_a_comprar,inference_reference_date,inference_window_start,inference_window_end
ALT-D10201BC,24985,Clínica Odontológica Extremeña,Baleares,Illes Balears,balearic,13,3408,Producto 3408,Alto,Alto,98.57,99.27,2025-11-18,2025-09-15,196.42,"La darrera compra d'aquest producte va ser fa 1041 dies (mitjana habitual: 184 dies, retard de 856 dies). La despesa anual real (60€) supera la mitjana esperada (34€) en un 74%. La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,60.04,34.43,1041.0,184.3205158128136,0.707,muy_positivo,2,89,0,2025-12-29,2024-06-29,2025-09-29
ALT-3998CA05,1000060785,Clínica Dental Ibérica,Barcelona,Cataluña,east,4,Total,Total,Alto,Alto,95.77,58.17,2025-10-08,2025-06-26,195.97,"La darrera compra d'aquest producte va ser fa 531 dies (mitjana habitual: 158 dies, retard de 372 dies). La despesa anual real (148€) supera la mitjana esperada (80€) en un 85%. La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4566, 5106",3,147.64,80.02,531.0,158.4045798388423,-0.707,muy_positivo,2,52,0,2025-12-29,2024-06-29,2025-09-29
ALT-7A4D4514,96,Clínica Odontológica Gil y Gil,Sevilla,Andalucía,south,7,Combinat,Combinat,Alto,Alto,99.27,89.95,2025-08-25,2025-06-12,195.87,"La darrera compra d'aquest producte va ser fa 1231 dies (mitjana habitual: 95 dies, retard de 1135 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","4567, 5100",2,268.28,253.94,1231.0,95.26159274193547,1.138,muy_positivo,3,41,0,2025-12-29,2024-06-29,2025-09-29
ALT-A4A86291,1000080996,Óptima Molina,Girona,Cataluña,east,4,4566,Producto 4566,Alto,Alto,99.85,96.11,2025-09-23,2025-07-23,195.82,"La darrera compra d'aquest producte va ser fa 400 dies (mitjana habitual: 158 dies, retard de 241 dies). La propensió de compra és alta (96/100), cosa que suggereix que el client continua actiu en el mercat.",4566,1,1328.79,1274.74,400.0,158.4045798388423,-1.147,muy_positivo,3,19,0,2025-12-29,2024-06-29,2025-09-29
ALT-BB66F10A,19111,Perfecta Alonso,Almería,Andalucía,south,8,Total,Total,Alto,Alto,95.91,89.88,2025-11-16,2025-09-22,195.76,"La darrera compra va ser fa 95 dies (dins la seva freqüència habitual de 158 dies). La despesa anual real (406€) supera la mitjana esperada (207€) en un 97%. La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4565, 4566, 5381",4,406.03,206.5,95.0,158.4045798388423,-0.998,muy_positivo,4,47,0,2025-12-29,2024-06-29,2025-09-29
ALT-792E1F35,29131,Instituto Dental Castro,Girona,Cataluña,east,5,Total,Total,Alto,Alto,95.53,92.46,2025-10-17,2025-07-25,195.72,"La darrera compra va ser fa 73 dies (dins la seva freqüència habitual de 206 dies). La despesa anual real (668€) supera la mitjana esperada (454€) en un 47%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","4565, 4566, 4911",3,668.35,453.62,73.0,206.84758128469468,-1.04,muy_positivo,4,32,0,2025-12-29,2024-06-29,2025-09-29
ALT-F243716C,1000079238,Centro Dental Blanco y Blanco,Córdoba,Andalucía,south,7,Combinat,Combinat,Alto,Alto,98.02,98.15,2025-06-28,2025-06-17,195.71,"La darrera compra d'aquest producte va ser fa 567 dies (mitjana habitual: 158 dies, retard de 408 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","3408, 4566",2,708.7,819.4,567.0,158.4045798388423,1.427,muy_positivo,4,52,0,2025-12-29,2024-06-29,2025-09-29
ALT-4CF3665C,1000037323,Centro Dental Díaz y Díaz,Tarragona,Cataluña,east,5,5099,Producto 5099,Alto,Alto,99.13,97.37,2025-10-22,2025-09-17,195.65,"La darrera compra d'aquest producte va ser fa 573 dies (mitjana habitual: 108 dies, retard de 464 dies). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat.",5099,1,342.64,313.49,573.0,108.2549207630968,0.866,muy_positivo,4,23,0,2025-12-29,2024-06-29,2025-09-29
ALT-DE0BF08D,1000067437,Gabinete Dental Rubio y Rubio,Pontevedra,Galicia,north,2,Total,Total,Alto,Alto,95.75,74.23,2025-07-29,2025-06-25,195.63,"La darrera compra d'aquest producte va ser fa 539 dies (mitjana habitual: 206 dies, retard de 332 dies). La despesa anual real (263€) supera la mitjana esperada (205€) en un 28%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","4911, 5099, 5103, 5112",4,263.29,205.03,539.0,206.84758128469468,0.089,muy_positivo,3,30,0,2025-12-29,2024-06-29,2025-09-29
ALT-E517AE3D,1000079899,Gabinete Dental Dr. Torres,Asturias,Asturias,north,2,4911,Producto 4911,Alto,Alto,98.59,98.33,2025-09-06,2025-06-25,195.54,"La darrera compra va ser fa 195 dies (dins la seva freqüència habitual de 206 dies). La despesa anual real (2268€) supera la mitjana esperada (940€) en un 141%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,2268.34,940.0,195.0,206.84758128469468,-1.024,muy_positivo,3,32,0,2025-12-29,2024-06-29,2025-09-29
ALT-EDBBF6CD,40513,Dental Molina - Serena,Vizcaya,País Vasco,north,2,3408,Producto 3408,Alto,Alto,99.9,95.68,2025-12-19,2025-09-10,195.47,"La darrera compra d'aquest producte va ser fa 517 dies (mitjana habitual: 184 dies, retard de 332 dies). La despesa anual real (660€) supera la mitjana esperada (410€) en un 61%. La propensió de compra és alta (96/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,659.71,410.47,517.0,184.3205158128136,-0.707,muy_positivo,2,35,0,2025-12-29,2024-06-29,2025-09-29
ALT-FC1A9730,26757,Clínica Odontológica Dr. Calvo,Barcelona,Cataluña,east,4,5108,Producto 5108,Alto,Alto,99.37,96.52,2025-06-23,2025-02-20,195.29,"La darrera compra va ser fa 94 dies (dins la seva freqüència habitual de 121 dies). La despesa anual real (1185€) supera la mitjana esperada (556€) en un 113%. La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat.",5108,1,1184.88,555.54,94.0,121.38088798737886,-0.707,muy_positivo,2,32,0,2025-12-29,2024-06-29,2025-09-29
ALT-3F9D1828,5939,Odontología Molina,Madrid,Comunidad de Madrid,south,9,Total,Total,Alto,Alto,94.64,68.02,2025-06-28,2025-06-27,195.24,"La darrera compra d'aquest producte va ser fa 191 dies (mitjana habitual: 134 dies, retard de 56 dies). La despesa anual real en aquest producte (398€) és un 38% inferior a la mitjana esperada (642€). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4912, 5119",3,397.52,641.94,191.0,134.17444825463818,0.22,muy_positivo,4,67,0,2025-12-29,2024-06-29,2025-09-29
ALT-F25C0C49,17574,Dental Bienestar Cruz,Madrid,Comunidad de Madrid,south,7,4911,Producto 4911,Alto,Alto,98.29,98.62,2025-08-05,2025-06-05,195.21,"La darrera compra va ser fa 188 dies (dins la seva freqüència habitual de 206 dies). La despesa anual real en aquest producte (81€) és un 45% inferior a la mitjana esperada (148€). La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,81.01,147.65,188.0,206.84758128469468,-0.77,muy_positivo,3,78,0,2025-12-29,2024-06-29,2025-09-29
ALT-F5FAA45F,26402,Centro Dental Salud,Madrid,Comunidad de Madrid,south,9,3408,Producto 3408,Alto,Alto,98.79,97.55,2025-07-31,2025-05-20,195.16,"La darrera compra d'aquest producte va ser fa 693 dies (mitjana habitual: 184 dies, retard de 508 dies). La despesa anual real (64€) supera la mitjana esperada (44€) en un 45%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,64.15,44.12,693.0,184.3205158128136,-0.707,muy_positivo,2,33,0,2025-12-29,2024-06-29,2025-09-29
ALT-C5F8C932,1000068212,Centro Dental Nórdica,Madrid,Comunidad de Madrid,south,9,4567,Producto 4567,Alto,Alto,98.58,97.96,2025-09-08,2025-07-09,195.15,"La darrera compra d'aquest producte va ser fa 1009 dies (mitjana habitual: 299 dies, retard de 709 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4567,1,113.23,112.43,1009.0,299.14503950834063,0.707,muy_positivo,2,225,0,2025-12-29,2024-06-29,2025-09-29
ALT-4174DDBC,1000078469,Consulta Dental Armonía,Zamora,Castilla y León,north,3,4566,Producto 4566,Alto,Alto,99.86,95.28,2026-01-14,2025-09-24,195.02,"La darrera compra d'aquest producte va ser fa 474 dies (mitjana habitual: 158 dies, retard de 315 dies). La despesa anual real (1772€) supera la mitjana esperada (1300€) en un 36%. La propensió de compra és alta (95/100), cosa que suggereix que el client continua actiu en el mercat.",4566,1,1771.71,1300.08,474.0,158.4045798388423,-0.707,muy_positivo,2,9,0,2025-12-29,2024-06-29,2025-09-29
ALT-8CC4132B,1000076950,Confianza Ruiz,Burgos,Castilla y León,north,2,Total,Total,Alto,Alto,94.36,90.88,2025-07-05,2025-06-09,194.87,"La darrera compra d'aquest producte va ser fa 838 dies (mitjana habitual: 123 dies, retard de 714 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4911, 5115",3,496.09,487.35,838.0,123.55541627493992,1.109,muy_positivo,3,36,0,2025-12-29,2024-06-29,2025-09-29
ALT-81181173,27498,Centro Odontológico Cantábrica,Barcelona,Cataluña,east,4,5103,Producto 5103,Alto,Alto,98.33,98.14,2025-03-27,2025-01-10,194.83,"La darrera compra d'aquest producte va ser fa 1082 dies (mitjana habitual: 150 dies, retard de 931 dies). La despesa anual real (1753€) supera la mitjana esperada (716€) en un 145%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",5103,1,1752.69,716.13,1082.0,150.6395395799677,0.707,muy_positivo,2,19,0,2025-12-29,2024-06-29,2025-09-29
ALT-75EBE4DA,7602,Oral Santos,Barcelona,Cataluña,east,4,Combinat,Combinat,Alto,Alto,87.13,95.67,2025-07-08,2025-06-05,194.78,"La darrera compra d'aquest producte va ser fa 247 dies (mitjana habitual: 206 dies, retard de 40 dies). La despesa anual real en aquest producte (324€) és un 27% inferior a la mitjana esperada (444€). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","4911, 5099",2,324.05,443.92,247.0,206.84758128469468,-1.198,muy_positivo,4,46,0,2025-12-29,2024-06-29,2025-09-29
ALT-F12F4173,29669,Avanzada Torres,Barcelona,Cataluña,east,6,4911,Producto 4911,Alto,Alto,98.42,97.69,2025-07-10,2025-06-11,194.57,"La darrera compra d'aquest producte va ser fa 600 dies (mitjana habitual: 206 dies, retard de 393 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,432.06,460.33,600.0,206.84758128469468,0.897,muy_positivo,3,75,0,2025-12-29,2024-06-29,2025-09-29
ALT-8684244B,1000078257,Centro Odontológico Cano,Zaragoza,Aragón,east,4,4567,Producto 4567,Alto,Alto,98.16,98.18,2025-12-03,2025-09-01,194.54,"La darrera compra va ser fa 237 dies (dins la seva freqüència habitual de 299 dies). La despesa anual real (341€) supera la mitjana esperada (130€) en un 161%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4567,1,340.53,130.26,237.0,299.14503950834063,-0.35,muy_positivo,4,184,0,2025-12-29,2024-06-29,2025-09-29
ALT-CCBA1B66,10793,Odontología Lozano - Salud,Zaragoza,Aragón,east,6,4566,Producto 4566,Alto,Alto,99.48,95.38,2025-09-19,2025-09-15,194.36,"La darrera compra d'aquest producte va ser fa 301 dies (mitjana habitual: 158 dies, retard de 142 dies). La propensió de compra és alta (95/100), cosa que suggereix que el client continua actiu en el mercat.",4566,1,1328.79,1353.47,301.0,158.4045798388423,0.53,muy_positivo,6,72,0,2025-12-29,2024-06-29,2025-09-29
ALT-C0293278,1000078443,Equilibrio Cano,Madrid,Comunidad de Madrid,south,7,4567,Producto 4567,Alto,Alto,98.97,96.3,2025-06-07,2025-04-11,194.28,"La darrera compra d'aquest producte va ser fa 680 dies (mitjana habitual: 299 dies, retard de 380 dies). La despesa anual real (113€) supera la mitjana esperada (65€) en un 75%. La propensió de compra és alta (96/100), cosa que suggereix que el client continua actiu en el mercat.",4567,1,113.23,64.7,680.0,299.14503950834063,-0.707,muy_positivo,2,87,0,2025-12-29,2024-06-29,2025-09-29
ALT-44AD177C,22924,Vasca Sánchez,Sevilla,Andalucía,south,8,Combinat,Combinat,Alto,Alto,97.59,94.65,2025-10-04,2025-06-25,194.23,"La darrera compra d'aquest producte va ser fa 1253 dies (mitjana habitual: 169 dies, retard de 1083 dies). La despesa anual real (673€) supera la mitjana esperada (539€) en un 25%. La propensió de compra és alta (96/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","5115, 5116",2,673.44,538.72,1253.0,169.756052141527,1.117,muy_positivo,3,33,0,2025-12-29,2024-06-29,2025-09-29
ALT-E3D4F84C,21419,Centro Odontológico Madrileña Medina,Desconocida,Desconocida,south,9,Total,Total,Alto,Alto,87.79,74.3,2024-12-14,2024-09-25,193.98,"La darrera compra d'aquest producte va ser fa 223 dies (mitjana habitual: 158 dies, retard de 64 dies). La propensió de compra és alta (95/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4566, 4567",3,2786.56,3129.36,223.0,158.4045798388423,-0.349,muy_positivo,4,7,0,2025-12-29,2024-06-29,2025-09-29
ALT-B8F97ECD,1000080577,Consulta Dental Dr. Gutiérrez,Sevilla,Andalucía,south,8,3408,Producto 3408,Alto,Alto,97.69,98.48,2025-11-11,2025-09-12,193.9,"La darrera compra d'aquest producte va ser fa 228 dies (mitjana habitual: 184 dies, retard de 43 dies). La despesa anual real (470€) supera la mitjana esperada (207€) en un 126%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,469.52,207.3,228.0,184.3205158128136,-1.137,muy_positivo,4,90,0,2025-12-29,2024-06-29,2025-09-29
ALT-3A7CC1D4,15442,Clínica Odontológica Madrileña,Almería,Andalucía,south,8,4911,Producto 4911,Alto,Alto,98.15,97.15,2025-06-19,2025-03-17,193.51,"La darrera compra d'aquest producte va ser fa 508 dies (mitjana habitual: 206 dies, retard de 301 dies). La despesa anual real (810€) supera la mitjana esperada (486€) en un 67%. La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,810.12,485.92,508.0,206.84758128469468,-0.707,muy_positivo,2,38,0,2025-12-29,2024-06-29,2025-09-29
ALT-337A5D70,8813,Dental Moreno - Madrileña,Madrid,Comunidad de Madrid,south,9,Combinat,Combinat,Alto,Alto,89.35,97.66,2025-10-26,2025-07-02,193.19,"La darrera compra va ser fa 154 dies (dins la seva freqüència habitual de 184 dies). La despesa anual real (714€) supera la mitjana esperada (271€) en un 164%. La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","3408, 4566",2,714.16,270.88,154.0,184.3205158128136,-0.707,muy_positivo,2,32,0,2025-12-29,2024-06-29,2025-09-29
ALT-CDC69BF3,4759,Levantina Gallego,Madrid,Comunidad de Madrid,south,8,Total,Total,Alto,Alto,96.09,94.93,2025-11-18,2025-09-16,193.1,"La darrera compra d'aquest producte va ser fa 491 dies (mitjana habitual: 134 dies, retard de 356 dies). La despesa anual real (398€) supera la mitjana esperada (308€) en un 29%. La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","4565, 4912, 5103",3,397.52,308.13,491.0,134.17444825463818,-0.552,muy_positivo,3,20,0,2025-12-29,2024-06-29,2025-09-29
ALT-DA7AAECB,20194,Familiar Blanco,Vizcaya,País Vasco,north,2,4565,Producto 4565,Alto,Alto,97.76,97.52,2025-06-21,2025-05-30,193.09,"La darrera compra d'aquest producte va ser fa 336 dies (mitjana habitual: 173 dies, retard de 162 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",4565,1,885.86,850.17,336.0,173.38372602259787,-1.103,muy_positivo,4,16,0,2025-12-29,2024-06-29,2025-09-29
ALT-1817D77F,5554,Consulta Dental Castillo - Armonía,Vizcaya,País Vasco,north,2,Combinat,Combinat,Alto,Alto,97.98,96.71,2025-10-13,2025-09-24,193.06,"La darrera compra d'aquest producte va ser fa 380 dies (mitjana habitual: 158 dies, retard de 221 dies). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta diverses línies de producte, indicant una reducció parcial de la relació comercial.","3408, 4566",2,959.68,844.55,380.0,158.4045798388423,0.704,muy_positivo,6,13,0,2025-12-29,2024-06-29,2025-09-29
ALT-A861491D,30711,Consulta Dental Integral,Granada,Andalucía,south,7,5099,Producto 5099,Alto,Alto,99.93,93.13,2026-01-06,2025-09-15,193.0,"La darrera compra d'aquest producte va ser fa 223 dies (mitjana habitual: 108 dies, retard de 114 dies). La despesa anual real (514€) supera la mitjana esperada (199€) en un 159%. La propensió de compra és alta (93/100), cosa que suggereix que el client continua actiu en el mercat.",5099,1,513.96,198.71,223.0,108.2549207630968,-0.707,muy_positivo,2,48,0,2025-12-29,2024-06-29,2025-09-29
ALT-4C7028DF,19531,Policlínica Dental Fernández y Fernández,Murcia,Región de Murcia,east,5,3408,Producto 3408,Alto,Alto,96.82,99.16,2025-12-27,2025-09-09,192.83,"La darrera compra d'aquest producte va ser fa 974 dies (mitjana habitual: 184 dies, retard de 789 dies). La despesa anual real en aquest producte (92€) és un 47% inferior a la mitjana esperada (174€). La propensió de compra és alta (99/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,91.63,173.9,974.0,184.3205158128136,0.707,muy_positivo,2,54,0,2025-12-29,2024-06-29,2025-09-29
ALT-94EDDA8C,37595,Clínica Dental Dr. Torres,Madrid,Comunidad de Madrid,south,9,Total,Total,Alto,Alto,96.22,64.05,2025-07-16,2025-07-11,192.61,"La darrera compra d'aquest producte va ser fa 305 dies (mitjana habitual: 158 dies, retard de 146 dies). La despesa anual real en aquest producte (709€) és un 54% inferior a la mitjana esperada (1547€). La propensió de compra és alta (94/100), cosa que suggereix que el client continua actiu en el mercat. El risc afecta múltiples línies de producte, la qual cosa apunta a un canvi global en la relació comercial.","3408, 4566, 5381",3,708.7,1547.18,305.0,158.4045798388423,0.575,muy_positivo,6,31,0,2025-12-29,2024-06-29,2025-09-29
ALT-F8DBE9FB,40497,Centro Odontológico Vázquez,Girona,Cataluña,east,4,3408,Producto 3408,Alto,Alto,97.31,97.89,2025-10-27,2025-09-04,192.57,"La darrera compra d'aquest producte va ser fa 265 dies (mitjana habitual: 184 dies, retard de 80 dies). La propensió de compra és alta (98/100), cosa que suggereix que el client continua actiu en el mercat.",3408,1,61.76,59.28,265.0,184.3205158128136,-0.833,muy_positivo,4,57,0,2025-12-29,2024-06-29,2025-09-29
ALT-D075E68C,30,Centro Odontológico Navarra Martínez,Sevilla,Andalucía,south,7,4911,Producto 4911,Alto,Alto,97.48,97.5,2025-12-02,2025-09-12,192.51,"La darrera compra va ser fa 189 dies (dins la seva freqüència habitual de 206 dies). La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,648.1,687.47,189.0,206.84758128469468,-0.506,muy_positivo,3,43,0,2025-12-29,2024-06-29,2025-09-29
ALT-D9CD7F50,8130,Gabinete Dental Nórdica Domínguez,Valladolid,Castilla y León,north,1,4911,Producto 4911,Alto,Alto,97.35,97.42,2025-03-21,2025-02-05,192.19,"La darrera compra d'aquest producte va ser fa 348 dies (mitjana habitual: 206 dies, retard de 141 dies). La despesa anual real (972€) supera la mitjana esperada (658€) en un 48%. La propensió de compra és alta (97/100), cosa que suggereix que el client continua actiu en el mercat.",4911,1,972.14,657.5,348.0,206.84758128469468,-0.886,muy_positivo,3,29,0,2025-12-29,2024-06-29,2025-09-29
